match_id,match_date,match_time,city,stadium,team_a,team_b,toss_winner,toss_decision,score_a,wickets_a,overs_played_a,maiden_overs_a,4s_a,6s_a,boundaries_a,runrate_a,leg_byes_a,byes_a,wides_a,no_balls_a,penalty_a,extras_a,score_b,wickets_b,overs_played_b,maiden_overs_b,4s_b,6s_b,boundaries_b,runrate_b,leg_byes_b,byes_b,wides_b,no_balls_b,penalty_b,extras_b,wining_team,man_of_the_match,umpire_1,umpire_2,tv_umpire,match_refree,margin_runs,margin_wickets
24,25-10-2023,2:00 PM,Delhi,Arun Jaitley Stadium,Australia,Netherlands,Australia,Bat,399,8,50.0,0,42,15,57,7.98,0,0,7,0,0,7,90,10,21.0,0,13,0,13,4.28,0,0,11,1,0,12,Australia,Glenn Maxwell,Sharfuddoula,Michael Gough,Marais Erasmus,Andy Pycroft,309,0
25,26-10-2023,2:00 PM,Bangalore,M. Chinnaswamy Stadium,England,Sri Lanka,England,Bat,156,10,33.2,0,19,1,20,4.68,0,0,3,0,0,3,160,2,25.4,2,17,3,20,6.23,3,0,4,0,0,7,Sri Lanka,Lahiru Kumara,Chris Brown,Adrian Holdstock,Ahsan Raza,Javagal Srinath,0,8
26,27-10-2023,2:00 PM,Chennai,M. A. Chidambaram Stadium,Pakistan,South Africa,Pakistan,Bat,270,10,46.4,1,23,8,31,5.78,5,1,15,0,0,21,271,9,47.2,1,21,8,29,5.22,0,4,11,4,0,19,South Africa,Tabraiz Shamsi,Paul Reiffel,Alex Wharf,Richard Illingworth,Richie Richardson,0,1
27,28-10-2023,10:30 AM,Dharamshala,HPCA Stadium,Australia,New Zealand,New Zealand,Field,388,10,49.2,0,32,20,52,7.86,4,0,22,0,0,26,383,9,50.0,0,33,12,45,7.66,0,1,6,2,0,9,Australia,Travis Head,Sharfuddoula,Marais Erasmus,Nitin Menon,Andy Pycroft,5,0
28,28-10-2023,2:00 PM,Kolkata,Eden Gardens,Netherlands,Bangladesh,Netherlands,Bat,142,10,42.2,5,22,2,24,3.35,0,0,6,0,0,6,229,10,50.0,3,16,2,18,4.58,1,4,7,0,0,12,Netherlands,Paul van Meekeren,Joel Wilson,Paul Wilson,Kumar Dharmasena,Jeff Crowe,87,0
29,29-10-2023,2:00 PM,Lucknow,BRSABV Ekana Cricket Stadium,India,England,England,Field,229,9,50.0,4,20,4,24,4.58,2,0,6,0,0,8,129,10,34.5,5,10,3,13,3.7,0,4,3,0,0,7,India,Rohit Sharma,Rod Tucker,Adrian Holdstock,Ahsan Raza,Richie Richardson,100,0
30,30-10-2023,2:00 PM,Pune,Maharashtra Cricket Association Stadium,Sri Lanka,Afghanistan,Afghanistan,Field,241,10,49.3,0,19,2,21,4.86,1,0,9,0,0,10,242,3,45.2,1,19,5,24,5.33,2,0,9,0,0,11,Afghanistan,Fazalhaq Farooqi,Richard Illingworth,Chris Gaffaney,Alex Wharf,Javagal Srinath,0,7
31,31-11-2023,2:00 PM,Kolkata,Eden Gardens,Bangladesh,Pakistan,Bangladesh,Bat,205,3,32.3,2,19,3,22,6.3,2,0,2,0,0,4,204,10,45.1,2,19,9,28,4.51,4,0,5,0,0,9,Pakistan,Fakhar Zaman,Richard Kettleborough,Nitin Menon,Adrian Holdstock,Andy Pycroft,0,7
32,01-11-2023,2:00 PM,Pune,Maharashtra Cricket Association Stadium,South Africa,New Zealand,New Zealand,Field,357,4,50.0,4,26,15,41,7.14,1,4,6,1,0,12,167,10,35.3,1,17,4,21,4.7,4,0,8,0,0,12,South Africa,Rassie van der Dussen,Kumar Dharmasena,Ahsan Raza,Sharfuddoula,Richie Richardson,190,0
33,02-11-2023,2:00 PM,Mumbai,Wankhede Stadium,India,Sri Lanka,Sri Lanka,Field,357,8,50.0,4,31,9,40,7.14,1,5,4,0,0,10,55,10,19.4,2,6,0,6,2.79,6,5,8,1,0,20,India,Mohammed Shami,Chris Brown,Paul Reiffel,Rod Tucker,Jeff Crowe,302,0
